Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$63K - $112K (Glassdoor est.),"We are seeking motivated data scientists to help model and build descriptive, prescriptive and predictive models in the big data analytics space to enable effective decision making
Key Responsibilities
Work with data from multiple internal/external data sources and APIs.
Work with structured as well as unstructured data
Data wrangling for cleanup, handle missing data, standardize/scale data
Explore and analyze data using visualizations to uncover hidden patterns
Use ML techniques including linear/logistic regression, decision trees, classification, clustering, ensembles, text mining, social networking analysis to build models
Use these models to identify patterns and rules which help unearth business insights and aid in decision making",5.0,"Advanced Tech Placement
5.0","Atlanta, GA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$63K - $112K (Glassdoor est.),"Life at Plume
At Plume, we believe that technology isn't about moving faster, it's about making life's moments better. Which is why we've built the world's first, and only, open and hardware-independent service delivery platform for smart homes, small businesses, enterprises, and beyond. Our SaaS platform uses WiFi, advanced AI, and machine learning to create the future of connected spaces—and human experiences—at massive scale.
We now deliver services to over 35 million locations globally and have managed over 1.2 billion devices on our platform. We're expanding rapidly, pioneering a new category, and we achieved our Series F funding in just four years. Our customers include many of the world's largest Communications Service Providers (CSPs) who look to Plume to help them evolve their smart home offerings while gleaning insights from their own data.",5.0,"Plume
5.0",California,Unknown,-1,Self-employed,-1,-1,Unknown / Non-Applicable
Data Scientist,$63K - $112K (Glassdoor est.),"Manager is looking for someone that understands analytics – not looking for an engineer. Candidates must have the ability to research, find and reach out to business owners to pull information.
The Data Science/Analytics Consulting Partner will help to drive the intelligence behind our member consumerization efforts. This individual must be agile wear many technical hats and be comfortable filling in the gaps of vague business requirements. This individual will need the ability to work across many different stakeholders and systems to influence and align future-state delivery growth and innovation strategies.
You will be building analytic and data science intelligence solutions to support member consumerization. Work streams will include IEX affordability DDP and advocacy.
The current team consists of 1 PM, 4 Developers and 2 lead developer/analysts with access to offshore talent pool.",-1,"largeton,inc","Los Angeles, CA",-1,-1,-1,-1,-1,-1
Senior Data Scientist,$63K - $112K (Glassdoor est.),"Hybrid of business professional and data scientist with competency in machine learning, statistics, risk modeling, and analytics. This individual will lead the development of advanced business intelligence tools, customer-facing risk and decisioning models, as well as human capital and talent predictive models. The ideal candidate will have an innovation mindset and passion for mentoring and developing others, he or she will serve as a consultant to other statisticians and data analysts on the team, providing critical review and spurring the application of new analytical techniques to drive innovation. Qualified candidates will have a strong academic background in data science, mathematics or statistics, and experience in managing data intensive projects. The focus of the Equifax Data & Analytics organization is to harness the collective power of our vast data assets, state of the art systems, and advanced analytics to generate actionable insights for our business and customers.
What you’ll do",3.7,"Equifax
3.7","Alpharetta, GA",10000+ Employees,1899,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD)
Data Scientist,$87K - $134K (Glassdoor est.),"MORSE is an innovative, employee-owned, tech company located in Kendall Square in Cambridge, MA specializing in solving multi-disciplinary problems faced by the US National Security Ecosystem. Our specially selected team of engineers, software developers and scientists develop algorithms, software integrated prototypes and solutions for Artificial Intelligence, Machine Learning, Manned and Unmanned Aerial Vehicles, Mission Planning, and Situational Awareness.

MORSE is searching for innovative candidates with expertise in data science and algorithm development in one or more of a variety of fields including visual classification, big data, natural language processing, machine translation, time sequenced data, and advanced metrics. The candidate will be responsible for analyzing data, developing advanced algorithms to model physical and autonomous systems, and working with MORSE's current team of engineers to transition algorithms to software applications and real-time embedded systems. To support the transition of the developed algorithms to software, the candidate must to be proficient in one or more programming languages such as Python, Matlab, C, or C++. The candidate must also be capable of clearly communicating concepts to engineers and stakeholders.",4.8,"MORSE Corp
4.8","Cambridge, MA",51 to 200 Employees,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
Data Scientist,$87K - $134K (Glassdoor est.),"Qualifications: (Health care)Must
Relevant degree preferred. Advanced degree a plus.
5 or more years of relevant work experience.
Proficient programming experience using SAS/Python/R.
Demonstrated ability to manage large disparate data sets and using quantitative and qualitative analysis.
Experience effectively communicating and presenting data to a variety of audiences required.
Experience working with health care administrative claims data (ICD-10, MS-DRG, CPT/HCPCS) or electronic medical record data tools (Epic Clarity/Caboodle, Cerner CCL-Discern/PowerInsight) required.",-1,Springhead Technologies,"Chicago, IL",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Associate Scientist - Clinical Data Monitor,$87K - $134K (Glassdoor est.),"Why Patients Need You
Pfizer’s purpose is to deliver breakthroughs that change patients’ lives. Research and Development is at the heart of fulfilling Pfizer’s purpose as we work to translate advanced science and technologies into the therapies and vaccines that matter most. Whether you are in the discovery sciences, ensuring drug safety and efficacy or supporting clinical trials, you will apply cutting edge design and process development capabilities to accelerate and bring the best in class medicines to patients around the world.
What You Will Achieve
As an Associate Scientist, you will be at the center of our operations and you’ll find that everything we do, every day, is in line with an unwavering commitment to quality. Your significant experience of applying knowledge of principles, concepts, and practices of the discipline will make you a critical member of the team. Your skill and knowledge will help in making decisions that require choosing among limited options. You are proactive in contributing to all team discussions and creating an environment of collaboration. It is your innovative scientific temperament that will help in making Pfizer ready to achieve new milestones and help patients across the globe.

Research and Development",4.2,"Pfizer
4.2","Pearl River, NY",10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$87K - $134K (Glassdoor est.),"Rocket Travel is looking for a Data Scientist with experience in Python and SQL to join our growing Data Science Team. Remote employment is an option for this role
The Data Science Team oversees building internal-facing decision making tools and product-facing production models that aid in scaling our growing business.
Rocket Travel is a place where you:
Work with a group of intrinsically motivated people with a track record for building successful new businesses from scratch.
Embody curiosity, community, and accountability. We live and build products by these values every day.
Own decisions and take action that can be implemented in a matter of days (or hours).",4.5,"Rocket Travel, Inc.
4.5",New York State,51 to 200 Employees,2012,Company - Public,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable
Data Scientist - Entry Level,$87K - $134K (Glassdoor est.),"As a Data Scientist you will be working on consulting side of our business. You will be responsible for analyzing large, complex datasets and identify meaningful patterns that lead to actionable recommendations. You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.
Ability to do statistical modeling, build predictive models and leverage machine learning algorithms.
This position will combine the typical Data Scientist math and analytical skills, with research, advanced business, communication, and presentation skills.
Primary job location is in Sacramento, but work-from-home option is available.

Qualifications",-1,Numerdox,"Sacramento, CA",-1,-1,-1,-1,-1,-1
Data Scientist - Machine Learning,$87K - $134K (Glassdoor est.),"Data Scientist - Machine Learning
Work for a leading hedge fund within one of the world’s famous Data Science Machine learning labs for the future by combining the most innovative data sources, analysis, and investment tools with the Firm’s traditional strengths at deep fundamental analysis of how companies and industries operate, find, tests, analyzes, and models alternative data; conducts deep fundamental research; and helps the investment teams generate alpha-producing ideas using data and research. Producing insights by using machine learning techniques, fundamental company analysis, macro and sell-side research, and quantitative methodologies.
As a Data Scientist, you will support an idea generator testing investment theses using alternative data and building models to execute on the results of that research.
Responsibilities
Test research hypotheses and assumptions of researchers",-1,Algo Capital,"New York, NY",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
SR Data Scientist,$87K - $134K (Glassdoor est.),"Hiring Manager: Anila Joshi
Recruiter: Tikia Manning
Our Exciting Opportunity!
As the tech firm that created the mobile world, and with more than 54,000 patents to our name, we’ve made it our business to make a mark. When joining our team at Ericsson you are empowered to learn, lead and perform at your best, shaping the future of technology. This is a place where you're welcomed as your own perfectly unique self, and celebrated for the skills, talent, and perspective you bring to the team. Are you in?
Come, and be where it begins.",4.0,"Ericsson
4.0","Santa Clara, CA",10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Product Data Scientist (New York),$87K - $134K (Glassdoor est.),"Philo: TV on the Internet (TVoIP)
At Philo, we’re a group of technology and product people who set out to build the future of television, marrying the best in modern technology with the most compelling medium ever invented — in short, we’re building the TV experience that we’ve always wanted for ourselves. In practice this means leveraging cloud delivery, modern tech stacks, machine learning, and hand-crafted native app experiences on all of our platforms. We aim to deliver a rock solid experience on the streaming basics, while cooking up next generation multi-screen and multi-user playback experiences.
Data Science at Philo
Data underpins everything we do at Philo: making informed business decisions; analyzing and improving the quality of our streaming experience; running product experiments to optimize our signup flows; and making it easier for our users to find the perfect thing to watch. On the Data Science team, we’re looking for someone who is comfortable working on a variety of interesting growth, engagement, and retention-related problems across our streaming service. You’ll be working closely with other data scientists and engineers to build and deploy solutions directly for our service. We are passionate about problem-solving and providing data-informed insights for the entire company using both cutting-edge techniques and proven practices in close collaboration with every department.
Some of the recent projects our Data Science team members have worked on include:",-1,Philo Inc.,"Brooklyn, NY",1 to 50 Employees,2010,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$87K - $134K (Glassdoor est.),"Data Scientist
This position can be remote if you are not located near the New York City or College Park, MD office.
BlueVoyant is seeking an early career data scientist to join its Data Science team.
We are an interdisciplinary team working closely with Engineering, Analysts, and Product teams to identify the relevant problems to address, build prototypes and deploy solutions at scale into production. The Data Science team is an instrumental part of solving the most important and critical problems for the company.
Some of the topics a successful candidate can expect to work on include, but are not limited to, detection of suspicious activity, determining ownership of Internet assets, and identifying trends in our data between and within various facets across time.",3.9,"BlueVoyant
3.9",Remote,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Lead Data Scientist,$87K - $134K (Glassdoor est.),"Rocket Travel is looking for a Lead Data Scientist with experience in Python and SQL and maintaining machine learning models in production to join our growing Data Science Team. Remote employment is an option for this role.
The Data Science Team oversees building internal-facing decision making tools and product-facing production models that aid in scaling our growing business.
Rocket Travel is a place where you:
Work with a group of intrinsically motivated people with a track record for building successful new businesses from scratch.
Embody curiosity, community, and accountability. We live and build products by these values every day.",4.5,"Rocket Travel, Inc.
4.5",New York State,51 to 200 Employees,2012,Company - Public,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable
Data Scientist,$87K - $134K (Glassdoor est.),"Primary Purpose:
Focus on optimizing the performance of advertisements for advertisers and publishers working with Transparent.ly. Review a wide variety of voluntary consumer data that is ingested by Transparent.ly and optimize the resulting ads shown to consumers to improve click through rates as well as end of funnel performance for advertisers. Optimize the consumers that are sent to advertiser landing pages to improve the rate at which the consumers purchase a policy or loan. Transparent.ly is a real-time clicks bidding platform that allows advertisers to precisely bid for consumers with our ad technology platform.
Essential Duties and Responsibilities:
Following is a summary of the essential functions for this job. Other duties may be performed, both major and minor, which are not mentioned below. Specific activities may change from time to time.",3.3,"National General Insurance
3.3",Remote,5001 to 10000 Employees,1939,Company - Public,Insurance Carriers,Insurance,$2 to $5 billion (USD)
Data Scientist,$87K - $134K (Glassdoor est.),"ORGANIZATIONAL PROFILE: The mission of the Mayor’s Office of Data Analytics (MODA) is to work with City agencies and their data to help serve New Yorkers more equitably and effectively. This work takes three main forms: analyzing data to improve City agency operations; making Open Data more accessible to all New Yorkers; and advancing citywide data infrastructure, integration, and sharing. MODA’s work in partnership with agencies touch on a wide variety of areas including: public safety, education, emergency management, transportation, physical infrastructure, and economic development. Depending on the engagement, MODA staff may serve as analysts, strategic advisors, technical resources, or project managers.

MODA is also responsible for implementing the New York City Open Data Law, the most ambitious and comprehensive open data legislation in the country. MODA partners with the Department of Information Technology and Telecommunications (DoITT) to manage the City’s Open Data program, which has over 2,500 publicly available datasets and 30,000 weekly users, and achieve Open Data for All, the Mayor’s vision to maximize New Yorkers’ engagement with City data.

During the current COVID-19 emergency, MODA is providing critical citywide data analysis and integrations to support the City’s response. MODA plays a pivotal role in the City during emergencies, and MODA staff are serving seven days a week as data analysts, strategic advisors, technical resources, and project managers in a range of topics in partnership with City agencies including: public safety, education, emergency management, transportation, physical infrastructure, and economic development.

POSITION DESCRIPTION: MODA seeks a Data Scientist to join a diverse mission-driven urban analytics office and serve as part of the Analytics team, which practices and advances responsible and open analytics in the City of New York, and is a critical player in any Citywide emergency response. MODA data scientists balance thinking and doing: we are curious and ask questions, but also passionate about rolling up our sleeves to deliver timely answers to complex questions. The successful candidate should be a relentless problem solver, constantly curious and “question asker,” driven to find insights and “a-ha” moments in data and information, and to deliver recommendations to improve operations.

Examples of prior analytics projects are on the MODA project library (https://moda-nyc.github.io/Project-Library/projects/) and more about the team is available on the MODA team page (https://www1.nyc.gov/site/analytics/about/meet-team.page).

MODA serves an essential data analysis and critical coordination role to support the City’s COVID-19 response, and the Data Scientist’s projects will include delivering insights to City agency leadership on prioritizing and allocating operational resources, detecting anomalies for policy reviews, and forecasting and projecting demand and supply chain. Examples of recent COVID-19 data analytic projects include:


In addition to work within an emergency-response climate, the Data Scientist will complete data analytics projects to better inform agency or interagency policies, programs, and operational practices. The ideal candidate should have prior experience prioritizing and responding to requests for data and analysis from senior leadership, scoping projects and seeing them through delivery, and communicating results from analysis verbally and in writing in a fast-paced environment.

The Data Scientist will report to the MODA Assistant Director for Data Analytics, and work closely with other members of the Analytics Team and MODA office on projects. An interest and/or understanding of New York City policy and operations or strong policy or operational analysis capabilities is preferred but not required.

Responsibilities include, but are not limited to, the following:
.",4.0,"NYC Careers
4.0","New York, NY",1 to 50 Employees,-1,Nonprofit Organization,Education Training Services,Education,Unknown / Non-Applicable
Data Scientist,$87K - $134K (Glassdoor est.),"Do you have knowledge of the reserving techniques and actuarial standards of practice? Are you looking to advance your career in public service? If yes, we have an exciting opportunity for you!


Who We Are
Our mission at the State of Connecticut, Connecticut Insurance Department (CID) is consumer protection. The department carries out its mission by enforcing state insurance laws to ensure policy holders are treated fairly, by providing assistance, outreach and education to help consumers make sound choices and by regulating the industry in a fair and consistent manner that fosters market competition for availability of insurance.

The Position
The CID is currently recruiting for a Data Scientist position for the Department of Insurance. We are located at 153 Market Street in Downtown Hartford, easily accessible for all commuters. This position is full-time, 40 hours a week, Monday-Friday.",3.7,"State of Connecticut - Department of Insurance
3.7","Hartford, CT",10000+ Employees,-1,Government,State & Regional Agencies,Government,Unknown / Non-Applicable
Data Scientist,$87K - $134K (Glassdoor est.),"At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. Our Engineering team is at the forefront of this challenge, solving complex technical and UX problems on our mobile apps that center around habits, behavior, and lifestyle.
We are looking for a Data Scientist to join our Data team and help us ensure that we apply the best approaches to data analysis and research, artificial intelligence, and machine learning.
What You'll Like About Us:
We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.
We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionals.",4.1,"Noom US
4.1","New York, NY",1001 to 5000 Employees,2008,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
Senior Data Scientist,$87K - $134K (Glassdoor est.),"Thorn is a non-profit focused on building technology to defend children from sexual abuse. Working at Thorn allows you to apply your skills, expertise, and passions to directly impact the lives of vulnerable and abused children. Our staff solves dynamic, quickly evolving problems with our network of partners from tech companies, NGOs, and law enforcement agencies. If you can operate well in a complex and quickly changing environment and are able to talk specifically about heavy issues while bringing positivity to your work and colleagues, you could be an excellent fit for our team.
In 2019, we took the stage at TED and shared our audacious goal of eliminating child sexual abuse material from the internet. A key aspect of our work is keeping abreast of the new ways technology is used to sexually exploit and abuse children and building the right technology in response to combat this, as well as building technology to support the broader child safety ecosystem in combating online child sexual abuse.",4.4,"Thorn
4.4",California,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist (REMOTE),$87K - $134K (Glassdoor est.),"The core data science team at Dick’s Sporting Goods is seeking a data scientist to support product teams within the technology organization. Currently the team has a variety of work ranging from natural language processing to supply chain optimization, and is looking to continue to expand its footprint by bringing on another diverse teammate.
Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.
Build and put into deployment algorithmic solutions that focus on improving the customer’s experience and driving value both in-store and on our website.
Compile data from disparate data sources leveraging both qualitative and quantitative data to build models.
Communicate complex analyses and models to all levels of leadership across the organization.",3.8,"DICK'S Sporting Goods
3.8","Coraopolis, PA",10000+ Employees,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD)
Data Scientist,$87K - $134K (Glassdoor est.),"POSITION SUMMARY:
*
We are looking for a Data Scientist to join our cross-functional Data Center of Excellence team. As part of the newly formed team consisting of yourself, a Data Architect/Engineer, Portfolio Manager and Product Owner you will be working to leverage and increase data science across our customer journey. The initial term will be through 12/31/21, but there will likely be an opportunity to extend if a good mutual fit.
WHAT YOU’LL DO:
-Push business thinking on the art of the possible with data, machine learning and advanced analyticsWork as the lead data scientist, identifying and integrating new datasets that can be leveraged through our product capabilities to strategize and execute the development of data products",-1,Braintrust,"New York, NY",-1,-1,-1,-1,-1,-1
Data Scientist,$87K - $134K (Glassdoor est.),"Nuix creates innovative software that empowers organizations to simply and quickly find the truth from any data in a digital world. We are a passionate and talented team, delighting our customers with software that transforms data into actionable intelligence.
At Nuix, we hire the best people from around the world and empower them to do what they do best. We pride ourselves on our ongoing innovation, dedicated customer service and cutting-edge solutions that make a real difference to our customers and the world in which we live.
We collaborate to provide innovative solutions for more than 1,800 customers in over 72 countries. Our customers include many of the world's top financial institutions, corporations and government departments, all major global regulatory agencies, leading security and law enforcement agencies, and all tier-one advisory firms and litigation support vendors.
Responsibilities:
Identify valuable data sources and automate collection processes.",2.9,"Nuix
2.9","Boston, MA",201 to 500 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
Data Scientist (Analytics),$87K - $134K (Glassdoor est.),"Los Angeles, CA

Forge alternate worlds that deepen players' lives! We're a game development studio based in Los Angeles, dedicated to the idea that online games can deliver deeper, more meaningful experiences.

Expectations and Responsibilities

Requirements

Preferred

Location:
On-site in Los Angeles, CA (once back in office) unless noted above


Health, Vision, Dental, 401k Matching, and Equity
Relocation Assistance


PC and Console Games

About Us

With our first project, we’re exploring new styles of game design and tackling difficult technical problems to create a game that’s beautiful and intricate, delivering far more than superficial entertainment or basic wish fulfillment, an experience that becomes a meaningful part of your life. Our vision is to create a compelling virtual universe filled with rich and diverse gameplay experiences and social interactions that will keep you playing for years, evolving along with you and the rest of the community. We want our players to feel valued as well as a true sense of belonging.

Sounds ambitious? We think so too. If you’re interested in the challenge of building a new genre, in making rewarding interactive and community experiences filled with amazing art and world class technology to support this living world, join us on the journey.

We are proud to be an equal opportunity workplace committed to building a team culture that celebrates diversity, equity, and inclusion. We consider all qualified applicants regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.

Singularity 6 does not accept unsolicited resumes. Please do not forward unsolicited agency resumes to our careers alias, or any Singularity 6 employee. Singularity 6 will not be responsible for any agency fees associated with unsolicited resumes.",5.0,"Singularity 6
5.0","Los Angeles, CA",51 to 200 Employees,2018,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$87K - $134K (Glassdoor est.),"The Senior Data Scientist consultant will work as part of the Creation Product team & will be responsible for creating and delivering advanced analytical solutions for the business. This position will partner with business stakeholders as well as colleagues in the IT product & capability teams to aid in data driven decision making. Required Experience: • Advanced degree in Business Analytics, related subject or agronomy • 5+ years professional experience in designing and developing analytics solutions • 3+ years' experience in statistical programming such as Python, R, SAS, SPSS, etc. • Advanced SQL skills • Demonstrated knowledge of statistical and analytic techniques including regression, clustering, classification, etc. • Demonstrated ability to translate between business requirements and technical specifications and to communicate results and findings with non-technical business partners • Experience using traditional and modern platforms including cloud storage and compute technologies Required Skills: • Identify key business requirements that will drive the design, development, implementation, and delivery of models, quantitative analyses, and other analytical solutions • Conceptualize, design, and develop analytical solutions that are stable and scalable to meet business needs using the latest technologies • Partner closely with business & IT stakeholders to build optimal analytical solutions that lead to the desired business outcomes • Provide thought leadership and education to business partners regarding analytic best practices • Identify, report, and escalate risks to manager and stakeholders appropriately Preferred Skills: • Experience with Azure, Databricks & code management with Git • Experience with cloud-based model training and production • Experience with Docker containerization • Agricultural industry experience Interpersonal skills: • Strong leadership, partnership and communication skills • Ability to coordinate with all levels of the organization to design and deliver technical solutions to business problems • Ability to influence without authority",4.3,"Intone Networks
4.3",Remote,201 to 500 Employees,-1,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
"Data Scientist, Game Analytics & Strategy",$87K - $134K (Glassdoor est.),"At the NBA, we’re passionate about growing and celebrating the game of basketball. Through the intensity of the game and the amazing athletic skill of our players, we deliver excitement to hundreds of millions of fans around the world. As a global sports and media business, the NBA is so much more. While Basketball Operations runs the league’s on-court activities, other departments manage relationships with television and digital media partners, develop marketing partnerships with some of the world’s most recognizable companies, oversee the licensing of NBA merchandise, and handle a wide range of responsibilities that drive the NBA’s success.

The NBA is committed to providing a safe and healthy workplace. To safeguard our employees and their families, our visitors and the broader community from COVID-19, and in consideration of recommendations from health authorities and the NBA’s own advisors, any individual working onsite in our New York and New Jersey offices must be fully vaccinated against COVID-19. The NBA will discuss accommodations for individuals who cannot be vaccinated due to a medical reason or sincerely held religious belief, practice, or observance.",3.9,"the NBA
3.9","New York, NY",1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable
Data Scientist,$87K - $134K (Glassdoor est.),"Data Scientist
Plano, TX/Jersey City, NJ/Columbus, OH
Duration: 6+ Months
Experience and Technical Skills:
M.S. or Ph.D. in Statistics, Engineering, Computer Science, Mathematics, Economics or related quantitative field
8+ years hands on experiences in data mining, machine learning, predictive modeling in a large-scale, corporate environment
Solid coding skills in Python, R, SAS , SQL, Splunk or other equivalent languages in different environments
Deep knowledge in Machine Learning, Data Mining, Information Retrieval",-1,Nava,"Plano, TX",51 to 200 Employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Sr. Data Scientist,$87K - $134K (Glassdoor est.),"Join the Electra Vehicles team as we revolutionize Energy Storage!
We are a Boston-based B2B company developing the most unique and patented AI Software to optimize the performance of Battery Packs across a wide range of industries. Electra's AI Adaptive Controls Technology and Analytics Platform work in tandem to improve Electric Vehicle battery pack performance, lifetime, and safety, across entire eFleets.
Our Focus is in the Automotive Industry, particularly electric vehicle manufacturing, EV battery software, connected mobility, fleet management and analytics, and more. Although we are currently focusing on the Automotive sector, Electra's technology can be deployed into the Aerospace, Robotics, Grid and other industries that are rapidly transitioning into clean energy.
We have recently completed our Seed Round of fundraising and are now building the organization to develop and deliver to our customers and their overwhelming demand for our technology.",5.0,"Electra Vehicles
5.0","Boston, MA",1 to 50 Employees,-1,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Less than $1 million (USD)
Data Scientist,$87K - $134K (Glassdoor est.),"Journera is building the first Experience Management Platform for travel providers with the backing of some of the biggest names in the industry.
At Journera, data science is at the center of our product and a critical component of what we do as a company. We are looking to add more people to our team who share our passion for all things data science. We value creativity, a strong work ethic, and the ability to work well in a team as well as autonomously. We are seeking applicants who are seasoned professionals, brilliant newcomers, and anywhere in between.
Diversity is one of our core company values. We are committed to fostering an inclusive, equitable, and supportive working and learning environment for all our employees. We believe the diverse experiences of our employees enrich the way we identify and overcome challenges, as well as design and deliver solutions.",-1,Journera,Illinois,1 to 50 Employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Professional-Data Scientist,$87K - $134K (Glassdoor est.),"At AT&T, we’re connecting the world through the latest tech, top-of-the-line communications and the best in entertainment. Innovation powers all that we do, and our groundbreaking solutions deliver compelling communication and entertainment experiences to millions of customers worldwide. As part of our team, your next big idea could be our newest innovation. Here’s your opportunity to combine your passions for entertainment, media and technology to transform our company and your career.
The Data Scientist will use their talent breaking down business challenges into data-driven problems that guide improvements in sales process optimization, natural language processing, and automation opportunity identifications. They will utilize the latest artificial intelligence and statistical algorithms to create predictive models by detecting and exploiting patterns in massive datasets. They will also create data visualizations and give presentations that will help key stakeholders in their decision-making process.",3.7,"AT&T
3.7",California,10000+ Employees,1983,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data Scientist,$87K - $134K (Glassdoor est.),"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.

Your goal will be to help our company analyze trends to make better decisions.

Responsibilities

Identify valuable data sources and automate collection processes
Requirements",-1,Audiohook,Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$87K - $134K (Glassdoor est.),"We're looking for entrepreneurial Data Scientists who are motivated by our mission to simplify healthcare. We're building a data platform and API layer that powers the workflows of healthcare providers, care navigation platforms, health plans, and emerging digital health companies. You'll be involved throughout the product lifecycle and collaborate closely with technical and non-technical stakeholders to understand their various data needs, and how to best use Ribbon's data to solve them.
What we look for at Ribbon
Passion and drive to simplify healthcare by building products that increase access to care and power every healthcare decision to be high-quality, cost-effective, and convenient
Commitment to Ribbon Health company values, working on an exceptional team, and building an exceptional company",4.8,"Ribbon Health
4.8","New York, NY",1 to 50 Employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
"Data Scientist, Strategic Planning",$87K - $134K (Glassdoor est.),"About Us
Wonder is a fast-growing food-tech startup that's raising the bar on the role food plays in peoples' lives. We're creating an on-demand dining experience where customers can receive high-quality meals perfectly prepared and served to their doorsteps within minutes. We partner with the best restaurants and chefs across a diverse range of cuisines to offer access to the world's most delicious food—anytime, anywhere. Meals are prepared in Wonder kitchens and finished by onboard chefs deployed in our customized mobile kitchens.
Wonder is led by a team of experienced entrepreneurs including some of the most accomplished leaders and operators in the technology, culinary, and logistics industries. Backed by top-tier venture capitalists, we're moving quickly to pioneer the future of food.
If you join our team, you'll work in a supportive and collaborative environment where our culture and our values—Mastery, Compassion, and Courage—are taken as seriously as delivering an incredible experience for our customers.",-1,Wonder,"New York, NY",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Sr Data Scientist,$87K - $134K (Glassdoor est.),"Grow your career with a growing organization
Whether they’re helping people reach their long-term financial goals or providing personal wealth management strategies, every associate contributes to changing the lives of those we serve for the better. When it comes to job satisfaction, that’s hard to beat. And from a personal satisfaction perspective, you’ll enjoy the freedom to support causes that matter to you and experience a truly inclusive work environment. Your future starts now.
Role
You will provide insights to business stakeholders in Marketing, Sales, Product, and Service, enabling them to make informed decisions. You will perform exploratory and detailed analysis of large data sets and present the analysis to stakeholders. You will maintain and create complex classifiers, predictive models and utilize other machine learning techniques, in collaboration with Data Engineers, Java Engineers, Business Analysts and business stakeholders to provide analysis and make recommendations.



We are searching for someone innovative. Someone who can think outside of the box, understand our financial services business, and advocate visionary and new ideas. Further, the ideal candidate will be self-motivated, work well autonomously as well as with others, possess solid critical thinking skills, hold the ability to synthesize complex problems and develop programs to apply data science concepts to improve business efficiencies. Excellent written and speaking communication skills are required to work successfully in a collaborative cross-functional environment and interact with the full spectrum of business divisions.

$ 113,200.00-181,200.00
CA Remote",-1,Empower Retirement,California,5001 to 10000 Employees,1907,Company - Private,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD)
